cargo,empresa,salario_base,localizacao,modalidade_trabalho,nivel,experiencia,tipo_contrato,remuneracao_total_anual,remuneracao_inclui,salario_base_detalhado,bonus_anual,relacao_empresa,area_especializacao,beneficios,remuneracao_total_mensal,Apoio psicológico,Auxílio Creche,Auxílio Educação,Auxílio Internet,Café Grátis,Celular Corporativo,Day off no aniversário,Gympass,Gympass ou subsídio para academia,Home Office,Home office,Horas extras,Horário Flexível,Horário flexível,Insalubridade ou periculosidade,Licença maternidade estendida,Licença paternidade estendida,Não informado,PLR,Participação nos Lucros e Resultados (PLR),Plano Odontológico,Plano de Saúde,Plano de saúde,Previdência privada,Seguro de vida,Stock Options,Vale Alimentação,Vale Refeição,Vale Transporte,Vale-alimentação,Vale-refeição,Viagens,estado,texto_vaga
Data Scientist,Banco inter,12.0,"Belo Horizonte, Minas Gerais",Presencial,Sênior,4 anos de experiência,CLT,183.96,"Inclui bônus, PLR, stock options e comissões",159.96,24.000,Funcionário em abril de 2025,Outra,Vale Refeição | Vale Alimentação | Auxílio Creche | Auxílio Educação | Plano de Saúde | Plano Odontológico | Horário Flexível | Café Grátis | Participação nos Lucros e Resultados (PLR) | Seguro de vida | Gympass ou subsídio para academia | Day off no aniversário | Apoio psicológico,15.33,sim,sim,sim,nao,sim,nao,sim,nao,sim,nao,nao,nao,sim,nao,nao,nao,nao,nao,nao,sim,sim,sim,nao,nao,sim,nao,sim,sim,nao,nao,nao,nao,MG,Data Scientist Sênior MG Presencial
Data Scientist,Empresa de Pesquisa Energética,13.819,Rio de Janeiro,Híbrido,Júnior,1 ano de experiência,CLT,184.207,"Inclui bônus, PLR, stock options e comissões",184.207,Não informado,Funcionário em abril de 2025,Não informado,Vale Refeição | Vale Alimentação | Plano de Saúde | Home Office | Horário Flexível | Café Grátis | Horas extras | Gympass ou subsídio para academia,15.351,nao,nao,nao,nao,sim,nao,nao,nao,sim,sim,nao,sim,sim,nao,nao,nao,nao,nao,nao,nao,nao,sim,nao,nao,nao,nao,sim,sim,nao,nao,nao,nao,RJ,Data Scientist Júnior RJ Híbrido
Data Scientist,Stefanini,7.5,"São Paulo, São Paulo",Híbrido,Pleno,3 anos de experiência,CLT,99.975,"Inclui bônus, PLR, stock options e comissões",99.975,Não informado,Funcionário em abril de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Plano de Saúde | Plano Odontológico | Gympass ou subsídio para academia,8.331,nao,nao,nao,nao,nao,nao,nao,nao,sim,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,nao,nao,nao,nao,sim,sim,nao,nao,nao,nao,SP,Data Scientist Pleno SP Híbrido
Data Scientist,Banco Safra,3.3,"São Paulo, São Paulo",Presencial,Estagiário,1.3 anos de experiência,Estágio,39.6,"Inclui bônus, PLR, stock options e comissões",39.6,Não informado,Funcionário em abril de 2025,Não informado,Vale Refeição | Vale Transporte | Auxílio Educação | Plano de Saúde | Plano Odontológico | Horário Flexível | Gympass ou subsídio para academia,3.3,nao,nao,sim,nao,nao,nao,nao,nao,sim,nao,nao,nao,sim,nao,nao,nao,nao,nao,nao,nao,sim,sim,nao,nao,nao,nao,nao,sim,sim,nao,nao,nao,SP,Data Scientist Estagiário SP Presencial
Data Scientist,Iniciativa FIS,6.0,"Rio de Janeiro, Rio de Janeiro",Presencial,Júnior,1 ano de experiência,PJ,72.0,"Inclui bônus, PLR, stock options e comissões",72.0,Não informado,Funcionário em abril de 2025,Não informado,Não informado,6.0,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,sim,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,RJ,Data Scientist Júnior RJ Presencial
Data Scientist,Goener,3.0,"Fortaleza, Ceará",Remoto,Estagiário,0.5 anos de experiência,Estágio,36.0,"Inclui bônus, PLR, stock options e comissões",36.0,Não informado,Funcionário em abril de 2025,Inteligência Artificial / Machine Learning,Não informado,3.0,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,sim,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,CE,Data Scientist Estagiário CE Remoto
Data Scientist,Ibpad,3.16,Distrito Federal,Remoto,Júnior,0.1 anos de experiência,PJ,37.92,"Inclui bônus, PLR, stock options e comissões",37.92,Não informado,Oferta de emprego recebida em junho de 2024,Banco de Dados,Auxílio Educação | Home Office | Horário Flexível | Gympass ou subsídio para academia | Apoio psicológico,3.16,sim,nao,sim,nao,nao,nao,nao,nao,sim,sim,nao,nao,sim,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,DF,Data Scientist Júnior DF Remoto
Data Scientist,Banco do brasil,8.0,"Brasília, Distrito Federal",Híbrido,Júnior,3 anos de experiência,CLT,142.64,"Inclui bônus, PLR, stock options e comissões",106.64,36.000,Funcionário em abril de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Vale Transporte | Auxílio Creche | Auxílio Educação | Auxílio Internet | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Viagens | Celular Corporativo | Café Grátis | Participação nos Lucros e Resultados (PLR) | Horas extras | Previdência privada | Seguro de vida | Gympass ou subsídio para academia | Apoio psicológico | Licença maternidade estendida | Licença paternidade estendida,11.887,sim,sim,sim,sim,sim,sim,nao,nao,sim,sim,nao,sim,sim,nao,nao,sim,sim,nao,nao,sim,sim,sim,nao,sim,sim,nao,sim,sim,sim,nao,nao,sim,DF,Data Scientist Júnior DF Híbrido
Data Scientist,Serasa Experian,9.3,"Brasília, Distrito Federal",Remoto,Sênior,5 anos de experiência,CLT,123.969,"Inclui bônus, PLR, stock options e comissões",123.969,Não informado,Funcionário em março de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Participação nos Lucros e Resultados (PLR) | Previdência privada | Gympass ou subsídio para academia | Stock Options,10.331,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,nao,nao,sim,nao,nao,nao,nao,nao,nao,sim,sim,sim,nao,sim,nao,sim,sim,sim,nao,nao,nao,nao,DF,Data Scientist Sênior DF Remoto
Data Scientist,Mercado Livre,15.0,"Osasco, Sergipe",Remoto,Pleno,5 anos de experiência,CLT,211.95,"Inclui bônus, PLR, stock options e comissões",199.95,12.000,Saiu da empresa em 2024 (ex-funcionário),Não informado,Vale Refeição | Vale Alimentação | Auxílio Creche | Auxílio Educação | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Café Grátis | Participação nos Lucros e Resultados (PLR) | Horas extras | Previdência privada | Gympass ou subsídio para academia | Apoio psicológico | Licença maternidade estendida | Licença paternidade estendida,17.663,sim,sim,sim,nao,sim,nao,nao,nao,sim,sim,nao,sim,sim,nao,nao,sim,sim,nao,nao,sim,sim,sim,nao,sim,nao,nao,sim,sim,nao,nao,nao,nao,SE,Data Scientist Pleno SE Remoto
Data Scientist,C6 Bank,5.0,"Cotia, São Paulo",Remoto,Júnior,1 ano de experiência,CLT,66.65,"Inclui bônus, PLR, stock options e comissões",66.65,Não informado,Oferta de emprego recebida em março de 2025,Banco de Dados,Vale Refeição | Vale Alimentação | Auxílio Creche | Auxílio Educação | Auxílio Internet | Plano de Saúde | Plano Odontológico | Home Office | Participação nos Lucros e Resultados (PLR) | Previdência privada | Seguro de vida | Gympass ou subsídio para academia | Day off no aniversário | Apoio psicológico | Licença maternidade estendida | Licença paternidade estendida,5.554,sim,sim,sim,sim,nao,nao,sim,nao,sim,sim,nao,nao,nao,nao,nao,sim,sim,nao,nao,sim,sim,sim,nao,sim,sim,nao,sim,sim,nao,nao,nao,nao,SP,Data Scientist Júnior SP Remoto
Data Scientist,Banco Itaú,7.5,São Paulo,Híbrido,Júnior,4 anos de experiência,CLT,143.975,"Inclui bônus, PLR, stock options e comissões",99.975,44.000,Funcionário em março de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Auxílio Educação | Plano de Saúde | Plano Odontológico | Horário Flexível | Café Grátis | Participação nos Lucros e Resultados (PLR) | Horas extras | Previdência privada | Seguro de vida | Gympass ou subsídio para academia | Apoio psicológico,11.998,sim,nao,sim,nao,sim,nao,nao,nao,sim,nao,nao,sim,sim,nao,nao,nao,nao,nao,nao,sim,sim,sim,nao,sim,sim,nao,sim,sim,nao,nao,nao,nao,SP,Data Scientist Júnior SP Híbrido
Data Scientist,ClearSale,13.8,"Barueri, São Paulo",Remoto,Sênior,5 anos de experiência,CLT,203.954,"Inclui bônus, PLR, stock options e comissões",183.954,20.000,Oferta de emprego recebida em abril de 2023,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Auxílio Creche | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Celular Corporativo | Café Grátis | Seguro de vida | Gympass ou subsídio para academia | Day off no aniversário | Licença maternidade estendida | Licença paternidade estendida,16.996,nao,sim,nao,nao,sim,sim,sim,nao,sim,sim,nao,nao,sim,nao,nao,sim,sim,nao,nao,nao,sim,sim,nao,nao,sim,nao,sim,sim,nao,nao,nao,nao,SP,Data Scientist Sênior SP Remoto
Data Scientist,Banco Bradesco,10.3,"Osasco, São Paulo",Híbrido,Pleno,4 anos de experiência,CLT,153.299,"Inclui bônus, PLR, stock options e comissões",137.299,16.000,Funcionário em março de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Auxílio Internet | Plano de Saúde | Plano Odontológico | Participação nos Lucros e Resultados (PLR) | Horas extras | Previdência privada | Gympass ou subsídio para academia,12.775,nao,nao,nao,sim,nao,nao,nao,nao,sim,nao,nao,sim,nao,nao,nao,nao,nao,nao,nao,sim,sim,sim,nao,sim,nao,nao,sim,sim,nao,nao,nao,nao,SP,Data Scientist Pleno SP Híbrido
Data Scientist,Bayer Crop Science,18.0,"São Paulo, São Paulo",Remoto,Líder / Coordenador,17 anos de experiência,CLT,246.94,"Inclui bônus, PLR, stock options e comissões",239.94,7.000,Funcionário em março de 2025,Inteligência Artificial / Machine Learning,Vale Alimentação | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Viagens | Celular Corporativo | Café Grátis | Participação nos Lucros e Resultados (PLR) | Previdência privada | Seguro de vida | Gympass ou subsídio para academia | Day off no aniversário | Licença maternidade estendida | Licença paternidade estendida,20.578,nao,nao,nao,nao,sim,sim,sim,nao,sim,sim,nao,nao,sim,nao,nao,sim,sim,nao,nao,sim,sim,sim,nao,sim,sim,nao,sim,nao,nao,nao,nao,sim,SP,Data Scientist Líder / Coordenador SP Remoto
Data Scientist,Bradesco Seguros,9.6,São Paulo,Híbrido,Sênior,4 anos de experiência,CLT,142.968,"Inclui bônus, PLR, stock options e comissões",127.968,15.000,Funcionário em março de 2025,Banco de Dados,Vale Refeição | Vale Alimentação | Vale Transporte | Auxílio Creche | Auxílio Internet | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Café Grátis | Participação nos Lucros e Resultados (PLR) | Horas extras | Previdência privada | Seguro de vida | Gympass ou subsídio para academia | Day off no aniversário,11.914,nao,sim,nao,sim,sim,nao,sim,nao,sim,sim,nao,sim,sim,nao,nao,nao,nao,nao,nao,sim,sim,sim,nao,sim,sim,nao,sim,sim,sim,nao,nao,nao,SP,Data Scientist Sênior SP Híbrido
Data Scientist,Tropicana,70.0,"Florianópolis, Santa Catarina",Remoto,Sênior,11 anos de experiência,PJ,840.0,"Inclui bônus, PLR, stock options e comissões",840.0,Não informado,Funcionário em março de 2025,Banco de Dados,Não informado,70.0,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,sim,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,SC,Data Scientist Sênior SC Remoto
Data Scientist,Embraer,10.327,São Paulo,Remoto,Pleno,4 anos de experiência,CLT,160.923,"Inclui bônus, PLR, stock options e comissões",137.659,13.000,Funcionário em março de 2025,Não informado,Vale Refeição | Vale Transporte | Auxílio Creche | Auxílio Educação | Auxílio Internet | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Viagens | Café Grátis | Participação nos Lucros e Resultados (PLR) | Horas extras | Previdência privada | Seguro de vida | Gympass ou subsídio para academia | Licença maternidade estendida | Licença paternidade estendida,13.41,nao,sim,sim,sim,sim,nao,nao,nao,sim,sim,nao,sim,sim,nao,nao,sim,sim,nao,nao,sim,sim,sim,nao,sim,sim,nao,nao,sim,sim,nao,nao,sim,SP,Data Scientist Pleno SP Remoto
Data Scientist,Banco Itaú,8.4,"São Paulo, São Paulo",Híbrido,Júnior,3 anos de experiência,CLT,161.972,"Inclui bônus, PLR, stock options e comissões",111.972,50.000,Saiu da empresa em 2024 (ex-funcionário),Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Plano de Saúde | Plano Odontológico | Seguro de vida | Gympass ou subsídio para academia,13.498,nao,nao,nao,nao,nao,nao,nao,nao,sim,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,nao,nao,sim,nao,sim,sim,nao,nao,nao,nao,SP,Data Scientist Júnior SP Híbrido
Data Scientist,Equatorial Energia,5.0,"Belém, Pará",Presencial,Pleno,3 anos de experiência,CLT,81.65,"Inclui bônus, PLR, stock options e comissões",66.65,15.000,Funcionário em março de 2025,Serviços comerciais,Vale Refeição | Vale Alimentação | Vale Transporte | Auxílio Creche | Plano de Saúde | Plano Odontológico | Café Grátis | Participação nos Lucros e Resultados (PLR) | Previdência privada | Seguro de vida,6.804,nao,sim,nao,nao,sim,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,sim,nao,sim,sim,nao,sim,sim,sim,nao,nao,nao,PA,Data Scientist Pleno PA Presencial
Data Scientist,Kunumi,12.0,"Belo Horizonte, Minas Gerais",Remoto,Pleno,5 anos de experiência,CLT,159.96,"Inclui bônus, PLR, stock options e comissões",159.96,Não informado,Funcionário em março de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Vale Transporte | Auxílio Internet | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Seguro de vida | Gympass ou subsídio para academia | Day off no aniversário | Apoio psicológico | Licença maternidade estendida | Licença paternidade estendida,13.33,sim,nao,nao,sim,nao,nao,sim,nao,sim,sim,nao,nao,sim,nao,nao,sim,sim,nao,nao,nao,sim,sim,nao,nao,sim,nao,sim,sim,sim,nao,nao,nao,MG,Data Scientist Pleno MG Remoto
Data Scientist,Localiza,18.0,"Belo Horizonte, Minas Gerais",Remoto,Especialista,6 anos de experiência,CLT,319.94,"Inclui bônus, PLR, stock options e comissões",239.94,80.000,Saiu da empresa em 2024 (ex-funcionário),Outra,Vale Refeição | Vale Alimentação | Auxílio Internet | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Participação nos Lucros e Resultados (PLR) | Gympass ou subsídio para academia,26.662,nao,nao,nao,sim,nao,nao,nao,nao,sim,sim,nao,nao,sim,nao,nao,nao,nao,nao,nao,sim,sim,sim,nao,nao,nao,nao,sim,sim,nao,nao,nao,nao,MG,Data Scientist Especialista MG Remoto
Data Scientist,Clearsale,10.373,São Paulo,Remoto,Pleno,3 anos de experiência,CLT,148.272,"Inclui bônus, PLR, stock options e comissões",138.272,10.000,Funcionário em março de 2025,Banco de Dados,Vale Refeição | Vale Alimentação | Plano de Saúde | Home Office | Licença maternidade estendida,12.356,nao,nao,nao,nao,nao,nao,nao,nao,nao,sim,nao,nao,nao,nao,nao,sim,nao,nao,nao,nao,nao,sim,nao,nao,nao,nao,sim,sim,nao,nao,nao,nao,SP,Data Scientist Pleno SP Remoto
Data Scientist,Saint Gobain,11.0,"São Paulo, São Paulo",Híbrido,Pleno,3 anos de experiência,CLT,161.63,"Inclui bônus, PLR, stock options e comissões",146.63,15.000,Saiu da empresa em 2023 (ex-funcionário),Não informado,Vale Refeição | Vale Alimentação | Plano de Saúde | Plano Odontológico | Celular Corporativo | Participação nos Lucros e Resultados (PLR) | Previdência privada | Seguro de vida | Gympass ou subsídio para academia,13.469,nao,nao,nao,nao,nao,sim,nao,nao,sim,nao,nao,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,sim,nao,sim,sim,nao,sim,sim,nao,nao,nao,nao,SP,Data Scientist Pleno SP Híbrido
Data Scientist,Banco Itaú,18.0,São Paulo,Híbrido,Sênior,7 anos de experiência,CLT,349.94,"Inclui bônus, PLR, stock options e comissões",239.94,110.000,Funcionário em março de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Auxílio Creche | Auxílio Educação | Auxílio Internet | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Café Grátis | Participação nos Lucros e Resultados (PLR) | Horas extras | Previdência privada | Seguro de vida | Gympass ou subsídio para academia | Apoio psicológico | Licença maternidade estendida | Licença paternidade estendida,29.162,sim,sim,sim,sim,sim,nao,nao,nao,sim,sim,nao,sim,sim,nao,nao,sim,sim,nao,nao,sim,sim,sim,nao,sim,sim,nao,sim,sim,nao,nao,nao,nao,SP,Data Scientist Sênior SP Híbrido
Data Scientist,Nórdica Consultoria e Serviços,6.0,"Rio de Janeiro, Rio de Janeiro",Híbrido,Júnior,0 anos de experiência,CLT,79.98,"Inclui bônus, PLR, stock options e comissões",79.98,Não informado,Funcionário em março de 2025,Analytics,Vale Refeição | Vale Alimentação | Vale Transporte | Auxílio Creche | Plano de Saúde | Plano Odontológico | Home Office | Café Grátis | Horas extras | Seguro de vida | Apoio psicológico,6.665,sim,sim,nao,nao,sim,nao,nao,nao,nao,sim,nao,sim,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,nao,nao,sim,nao,sim,sim,sim,nao,nao,nao,RJ,Data Scientist Júnior RJ Híbrido
Data Scientist,PicPay,14.0,São Paulo,Remoto,Sênior,6 anos de experiência,CLT,186.62,"Inclui bônus, PLR, stock options e comissões",186.62,Não informado,Funcionário em março de 2025,Risco,Vale Refeição | Vale Alimentação | Vale Transporte | Auxílio Internet | Plano de Saúde | Plano Odontológico | Home Office | Horário Flexível | Participação nos Lucros e Resultados (PLR) | Horas extras | Seguro de vida,15.552,nao,nao,nao,sim,nao,nao,nao,nao,nao,sim,nao,sim,sim,nao,nao,nao,nao,nao,nao,sim,sim,sim,nao,nao,sim,nao,sim,sim,sim,nao,nao,nao,SP,Data Scientist Sênior SP Remoto
Data Scientist,Banco Itaú,16.0,"São Paulo, São Paulo",Híbrido,Sênior,10 anos de experiência,CLT,313.28,"Inclui bônus, PLR, stock options e comissões",213.28,100.000,Funcionário em março de 2025,Não informado,Vale Refeição | Vale Alimentação | Auxílio Creche | Auxílio Educação | Auxílio Internet | Plano de Saúde | Plano Odontológico | Horário Flexível | Café Grátis | Horas extras | Previdência privada | Seguro de vida | Gympass ou subsídio para academia | Day off no aniversário | Apoio psicológico,26.107,sim,sim,sim,sim,sim,nao,sim,nao,sim,nao,nao,sim,sim,nao,nao,nao,nao,nao,nao,nao,sim,sim,nao,sim,sim,nao,sim,sim,nao,nao,nao,nao,SP,Data Scientist Sênior SP Híbrido
Data Scientist,Ambev Tech,14.2,"São Paulo, São Paulo",Remoto,Sênior,5 anos de experiência,CLT,217.286,"Inclui bônus, PLR, stock options e comissões",189.286,28.000,Funcionário em março de 2025,Marketing Digital,Vale Refeição | Vale Alimentação | Auxílio Creche | Auxílio Educação | Plano de Saúde | Plano Odontológico | Home Office | Participação nos Lucros e Resultados (PLR) | Previdência privada | Seguro de vida | Gympass ou subsídio para academia | Stock Options | Day off no aniversário | Apoio psicológico | Licença paternidade estendida,18.107,sim,sim,sim,nao,nao,nao,sim,nao,sim,sim,nao,nao,nao,nao,nao,nao,sim,nao,nao,sim,sim,sim,nao,sim,sim,sim,sim,sim,nao,nao,nao,nao,SP,Data Scientist Sênior SP Remoto
Data Scientist,Grupo Recovery,6.5,"São Paulo, São Paulo",Híbrido,Júnior,3 anos de experiência,CLT,96.645,"Inclui bônus, PLR, stock options e comissões",86.645,10.000,Funcionário em março de 2025,Inteligência Artificial / Machine Learning,Vale Refeição | Vale Alimentação | Auxílio Internet | Plano de Saúde | Plano Odontológico | Home Office | Participação nos Lucros e Resultados (PLR) | Seguro de vida | Gympass ou subsídio para academia | Day off no aniversário | Apoio psicológico | Licença maternidade estendida | Licença paternidade estendida,8.054,sim,nao,nao,sim,nao,nao,sim,nao,sim,sim,nao,nao,nao,nao,nao,sim,sim,nao,nao,sim,sim,sim,nao,nao,sim,nao,sim,sim,nao,nao,nao,nao,SP,Data Scientist Júnior SP Híbrido
